Sample in Buffer,Sample in Window,TRIGGER,VISION_i/system_ila_0/inst/probe0_1[2:0],VISION_i/system_ila_0/inst/probe1_1,VISION_i/system_ila_0/inst/probe2_1,VISION_i/system_ila_0/inst/probe3_1,VISION_i/system_ila_0/inst/probe4_1,VISION_i/system_ila_0/inst/probe5_1,VISION_i/system_ila_0/inst/probe6_1,VISION_i/system_ila_0/inst/probe7_1,VISION_i/system_ila_0/inst/probe8_1[10:0],VISION_i/system_ila_0/inst/SLOT_0_BRAM_en_1,VISION_i/system_ila_0/inst/SLOT_0_BRAM_rst_1,VISION_i/system_ila_0/inst/SLOT_0_BRAM_dout_1[31:0],VISION_i/system_ila_0/inst/SLOT_0_BRAM_addr_1[31:0]
291,291,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
292,292,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
293,293,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
294,294,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
295,295,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
296,296,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
297,297,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
298,298,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
299,299,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
300,300,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
301,301,0,4,1,0,0,1,0,1,0,2004,1,0,00000000,1fffffc5
302,302,0,4,1,0,0,0,0,1,0,2004,1,0,00000000,1fffffc5
